selector,k,val_auc_roc,val_au_pr,val_au_pr_baseline,jaccard_with_ours,mean_ecosystem_proxies_per_draw
"Random Forest importance, top-k",18,0.991571044057232,0.9967746499240577,0.7211093990755008,0.5652173913043478,
"L1-regularised logistic, top-k",18,0.989233602493271,0.9959687628631431,0.7211093990755008,0.5652173913043478,
"CatBoost importance, top-k",18,0.9878051659819617,0.9956457684867626,0.7211093990755008,0.8947368421052632,
Hybrid 6-stage pipeline,18,0.9883245974406195,0.9955329894789486,0.7211093990755008,1.0,
"Mutual information, top-k",18,0.9875690607734806,0.9951123380473461,0.7211093990755008,0.5,
"Random 18 of 40 (matched candidate space), median of 200 draws",18,0.9795709968361902,0.991143846735682,0.7211093990755008,,
"PCA, 18 components",18,0.9777824998819474,0.9879778187019244,0.7211093990755008,,
"Random 18 of 456 (full point-in-time space), median of 200 draws",18,0.8382000519431458,0.9153119260730829,0.7211093990755008,,16.45
Ecosystem of origin only,1,0.8036347826017838,,0.7211093990755008,,
