config,n_candidates,k,n_train,n_test,train_versions_sharing_package_with_test,accuracy,auc_roc,au_pr,au_pr_baseline,delta_accuracy_vs_previous
G0 random stratified split (no grouping),464,18,2497,833,1108,0.9843937575030012,0.9923413983615927,0.9967375257200551,0.6518607442977191,
G1 grouping by package identity,464,18,2633,697,0,0.9411764705882353,0.9843695029401418,0.9905679070694456,0.5652797704447633,-0.043217286914765896
G2 composite grouping (package+maintainer+name family),464,18,2362,968,0,0.8915289256198347,0.9767093157512526,0.9919407006604497,0.7138429752066116,-0.049647544968400625
