model,n,TN,FP,FN,TP,accuracy,precision,recall,f1,mcc,auc_roc,au_pr,au_pr_baseline,specificity,fpr,brier,threshold
CatBoost,763,90,5,39,629,0.9423328964613368,0.9921135646687698,0.9416167664670658,0.9662058371735791,0.7830780929506047,0.9792467696186575,0.9969992897545762,0.8754914809960681,0.9473684210526315,0.05263157894736842,0.05314501374382222,0.5
RandomForest,763,92,3,24,644,0.9646133682830931,0.9953632148377125,0.9640718562874252,0.979467680608365,0.857461119977132,0.9828317050110306,0.9971625682626193,0.8754914809960681,0.968421052631579,0.031578947368421054,0.050589114724364684,0.5
Stacking,763,90,5,21,647,0.9659239842726082,0.9923312883435583,0.968562874251497,0.9803030303030303,0.8576846641929294,0.9794358651118815,0.9968394857339454,0.8754914809960681,0.9473684210526315,0.05263157894736842,0.02803350346191494,0.5
