protocol,model,n,TN,FP,FN,TP,accuracy,precision,recall,f1,mcc,auc_roc,au_pr,au_pr_baseline,specificity,fpr,brier,threshold
B_pooled,CatBoost,968,272,5,74,617,0.9183884297520661,0.9919614147909968,0.8929088277858177,0.9398324447829398,0.8250559034288553,0.9761659709415016,0.9917873421517993,0.7138429752066116,0.9819494584837545,0.018050541516245487,0.06891083861020779,0.5
B_pooled,RandomForest,968,271,6,77,614,0.9142561983471075,0.9903225806451613,0.8885672937771346,0.9366895499618612,0.8165180183509173,0.9694734257367807,0.9888630385952065,0.7138429752066116,0.9783393501805054,0.021660649819494584,0.08232239152635565,0.5
B_pooled,Stacking,968,267,10,58,633,0.9297520661157025,0.9844479004665629,0.9160636758321273,0.9490254872563718,0.8421626023940315,0.9722528434174299,0.9902404482022529,0.7138429752066116,0.9638989169675091,0.036101083032490974,0.05504350875716647,0.5
