protocol,model,test_accuracy,test_f1_pos,test_mcc,test_auc_roc,test_au_pr,au_pr_baseline,test_fpr,overfit_gap
A_original,CatBoost,0.9807923169267707,0.9851851851851852,0.9580033146482267,0.9933574649139518,0.9970218536772018,0.6518607442977191,0.017241379310344827,0.019207683073229287
A_original,RandomForest,0.9759903961584634,0.9813084112149533,0.9486007000432104,0.991153870578523,0.9962772686383689,0.6518607442977191,0.006896551724137931,0.019203836921232287
A_original,Stacking,0.9807923169267707,0.9851576994434137,0.9581628516551352,0.9913189813932813,0.9963648976032774,0.6518607442977191,0.013793103448275862,0.019207683073229287
B_corrected,CatBoost,0.9183884297520661,0.9398324447829398,0.8250559034288553,0.9761659709415016,0.9917873421517993,0.7138429752066116,0.018050541516245487,0.08161157024793386
B_corrected,RandomForest,0.9142561983471075,0.9366895499618612,0.8165180183509173,0.9694734257367807,0.9888630385952065,0.7138429752066116,0.021660649819494584,0.07990609003584637
B_corrected,Stacking,0.9276859504132231,0.9474474474474475,0.8381261678781412,0.9729267999602942,0.9905637337384391,0.7138429752066116,0.036101083032490974,0.06881142261654927
