ordering,k,val_auc_roc,val_au_pr,val_au_pr_baseline
mi -> variance -> boruta -> corr -> rfe -> budget,18,0.9893988761392076,0.9960695426683864,0.7211093990755008
variance -> mi -> boruta -> rfe -> corr -> budget,18,0.9883245974406195,0.9955329894789486,0.7211093990755008
boruta -> variance -> mi -> rfe -> corr -> budget,18,0.9883245974406195,0.9955329894789486,0.7211093990755008
corr -> variance -> mi -> boruta -> rfe -> budget,18,0.9878287765028098,0.9953880755148545,0.7211093990755008
variance -> corr -> mi -> boruta -> rfe -> budget,18,0.9878287765028098,0.9953880755148545,0.7211093990755008
variance -> mi -> corr -> boruta -> rfe -> budget,18,0.9878287765028098,0.9953880755148545,0.7211093990755008
