experiment,definition,n_repetitions,auc_roc_median,auc_roc_iqr,au_pr_median,au_pr_iqr
label_noise_10pct,10% des etiquettes d'ENTRAINEMENT inversees uniformement,10,0.9521647588646183,0.012265747856661569,0.980484573843708,0.00487223478319132
feature_corruption_20pct,20% des valeurs de TEST remplacees par un tirage dans la marginale d'entrainement de la meme feature,10,0.9331581394619841,0.010396693955811553,0.9719148601733457,0.0044071072055758
