feature,mean_abs_shap
pit_days_since_first,1.5771188559107387
pit_name_has_scope,1.025998466335264
pit_n_keywords,0.9851512646387185
vman_types_len,0.8834973343926764
vman_description_ent,0.7840679042303799
vman_homepage_ent,0.7644124327171737
pit_has_install_hook,0.709814647850788
vman_bin_dict_size,0.6793580194339675
vman_module_len,0.5637193617067631
vman_maintainers_list_size,0.5417908825434352
pit_n_dependencies,0.5377016132059983
pit_median_gap_days,0.5106768140504531
vman__from_len,0.5071456312434468
vman_description_len,0.4905009926041739
vman_publishConfig_dict_size,0.3504565569398374
pit_std_gap_days,0.31339839465482466
pit_n_dev_dependencies,0.3126266965220309
vman_gitHead_ent,0.3109799404418426
