removed,k,val_auc_roc,val_au_pr,val_au_pr_baseline,jaccard_with_full,delta_val_au_pr
none (full pipeline),18,0.9883245974406195,0.9955329894789486,0.7211093990755008,1.0,0.0
variance,18,0.9883245974406195,0.9955329894789486,0.7211093990755008,1.0,0.0
mi,18,0.9883245974406195,0.9955329894789486,0.7211093990755008,1.0,0.0
boruta,18,0.9891981867119989,0.9959012257078111,0.7211093990755008,0.8,0.0003682362288625063
rfe,18,0.988973886763942,0.9959723584163669,0.7211093990755008,0.8,0.00043936893741824967
corr,18,0.9895877603059924,0.9961589132128524,0.7211093990755008,0.8947368421052632,0.0006259237339037993
budget,26,0.9906148179628843,0.9964349626641293,0.7211093990755008,0.6923076923076923,0.0009019731851807045
