stage,k,auc_roc,au_pr,au_pr_baseline
initial,40,0.9748337312637468,0.9909779172437845,0.7138429752066116
variance,40,0.9748337312637468,0.9909779172437845,0.7138429752066116
mi,40,0.9748337312637468,0.9909779172437845,0.7138429752066116
boruta,38,0.9735432873405884,0.9905165583894232,0.7138429752066116
rfe,30,0.9744523450030563,0.9908383049766375,0.7138429752066116
corr,26,0.9742903864539959,0.9910040372505662,0.7138429752066116
budget,18,0.9747919355091507,0.9911775711281576,0.7138429752066116
