removed_family,n_removed,k,auc_roc,au_pr,au_pr_baseline,delta_au_pr
release_history,4,14,0.9525147983093617,0.9813499870789035,0.7138429752066116,-0.009827584049254101
description,5,13,0.9563913545481617,0.9835434578780944,0.7138429752066116,-0.007634113250063246
authorship,3,15,0.9669761293996563,0.986864067814268,0.7138429752066116,-0.004313503313889577
dependencies,2,16,0.9717721922395732,0.9899498098397814,0.7138429752066116,-0.0012277612883762057
versioning,2,16,0.9731984723651693,0.990517144165413,0.7138429752066116,-0.000660426962744598
identity,2,16,0.9736634501350525,0.9906224049746816,0.7138429752066116,-0.000555166153476061
none,0,18,0.9747919355091507,0.9911775711281576,0.7138429752066116,0.0
