feature,family,point_in_time,n_unique
vman_keywords_list_size,vman (version manifest),True,29
vman_homepage_len,vman (version manifest),True,76
vman_homepage_ent,vman (version manifest),True,471
vman_bugs_dict_size,vman (version manifest),True,2
vman_bugs_nested,vman (version manifest),True,1
vman_tsup_dict_size,vman (version manifest),True,4
vman_tsup_nested,vman (version manifest),True,2
vman_types_len,vman (version manifest),True,25
vman_types_ent,vman (version manifest),True,85
vman_engines_dict_size,vman (version manifest),True,3
vman_engines_nested,vman (version manifest),True,1
vman_repository_dict_size,vman (version manifest),True,4
vman_repository_nested,vman (version manifest),True,1
vman_exports_dict_size,vman (version manifest),True,24
vman_exports_nested,vman (version manifest),True,2
vman_type_len,vman (version manifest),True,3
vman_type_ent,vman (version manifest),True,3
vman_nodemonConfig_dict_size,vman (version manifest),True,2
vman_nodemonConfig_nested,vman (version manifest),True,2
vman_publishConfig_dict_size,vman (version manifest),True,5
vman_publishConfig_nested,vman (version manifest),True,1
vman_c8_dict_size,vman (version manifest),True,3
vman_c8_nested,vman (version manifest),True,2
vman_module_len,vman (version manifest),True,30
vman_module_ent,vman (version manifest),True,81
vman_peerDependenciesMeta_dict_size,vman (version manifest),True,10
vman_peerDependenciesMeta_nested,vman (version manifest),True,2
vman_author_len,vman (version manifest),True,48
vman_author_ent,vman (version manifest),True,215
vman_packageManager_len,vman (version manifest),True,6
vman_packageManager_ent,vman (version manifest),True,12
vman_exports_len,vman (version manifest),True,3
vman_exports_ent,vman (version manifest),True,3
vman_openclaw_dict_size,vman (version manifest),True,3
vman_openclaw_nested,vman (version manifest),True,2
vman__schema_len,vman (version manifest),True,2
vman__schema_ent,vman (version manifest),True,2
vman_contributors_list_size,vman (version manifest),True,7
vman_funding_len,vman (version manifest),True,14
vman_funding_ent,vman (version manifest),True,17
vman_sideEffects_bool,vman (version manifest),True,2
vman_os_list_size,vman (version manifest),True,4
vman_cpu_list_size,vman (version manifest),True,3
vman_sideEffects_list_size,vman (version manifest),True,6
vman_jest_dict_size,vman (version manifest),True,7
vman_jest_nested,vman (version manifest),True,2
vman__from_len,vman (version manifest),True,48
vman__from_ent,vman (version manifest),True,160
vman_husky_dict_size,vman (version manifest),True,2
vman_husky_nested,vman (version manifest),True,2
vman__resolved_len,vman (version manifest),True,68
vman__resolved_ent,vman (version manifest),True,210
vman__integrity_len,vman (version manifest),True,2
vman__integrity_ent,vman (version manifest),True,189
vman_commitlint_dict_size,vman (version manifest),True,3
vman_commitlint_nested,vman (version manifest),True,2
vman_optionalDependencies_dict_size,vman (version manifest),True,6
vman_optionalDependencies_nested,vman (version manifest),True,1
vman_style_len,vman (version manifest),True,4
vman_style_ent,vman (version manifest),True,4
vman_browser_len,vman (version manifest),True,16
vman_browser_ent,vman (version manifest),True,22
vman_funding_dict_size,vman (version manifest),True,3
vman_funding_nested,vman (version manifest),True,1
vman_bundleDependencies_list_size,vman (version manifest),True,1
vman_preferGlobal_bool,vman (version manifest),True,2
vman_security_dict_size,vman (version manifest),True,2
vman_security_nested,vman (version manifest),True,1
vman_unpkg_len,vman (version manifest),True,13
vman_unpkg_ent,vman (version manifest),True,19
vman_browser_dict_size,vman (version manifest),True,5
vman_browser_nested,vman (version manifest),True,1
vman_typings_len,vman (version manifest),True,11
vman_typings_ent,vman (version manifest),True,15
vman_jsdelivr_len,vman (version manifest),True,9
vman_jsdelivr_ent,vman (version manifest),True,12
vman_lint_staged_dict_size,vman (version manifest),True,4
vman_lint_staged_nested,vman (version manifest),True,2
vman_react_native_dict_size,vman (version manifest),True,2
vman_react_native_nested,vman (version manifest),True,1
vman_typesVersions_dict_size,vman (version manifest),True,2
vman_typesVersions_nested,vman (version manifest),True,2
vman____len,vman (version manifest),True,2
vman____ent,vman (version manifest),True,2
vman_overrides_dict_size,vman (version manifest),True,5
