feature,mean_abs_shap
vman_author_ent,1.3250282197927146
pit_n_maintainers,1.1285460279943869
pit_has_repository,0.8837834894715834
pit_n_keywords,0.8772372177208256
pit_days_since_first,0.8306058079164567
pit_author_email_domain_score,0.8001643839631805
pit_median_gap_days,0.7781378142324782
vman_description_len,0.6908110993369639
vman_version_ent,0.5705358099516518
pit_releases_30d,0.5094939041953762
pit_description_entropy,0.40179962016225557
pit_description_len,0.35533547079397576
pit_ver_is_zero_major,0.353499696798254
vman_description_ent,0.3318843299021323
pit_std_gap_days,0.3166270082872475
pit_n_dependencies,0.24031134415614752
pit_name_n_hyphens,0.1915970989047134
pit_n_dev_dependencies,0.17903964307758058
