selector,k,auc_roc,au_pr,au_pr_baseline,jaccard_with_ours
Hybrid pipeline (ours),18,0.9747919355091507,0.9911775711281576,0.7138429752066116,1.0
L1 logistic top-k,18,0.9712497453071205,0.9895442978460435,0.7138429752066116,0.5652173913043478
CatBoost importance top-k,18,0.9696719555711129,0.989347451856077,0.7138429752066116,0.8
RF importance top-k,18,0.9702623206047846,0.9893438914972524,0.7138429752066116,0.5652173913043478
Mutual information top-k,18,0.9591289764742146,0.9847780745617365,0.7138429752066116,0.5
Random-18 (median of 20),18,0.9588729774773128,0.9828639366035001,0.7138429752066116,0.3333333333333333
PCA-18 components,18,0.921141860015569,0.9694946690462491,0.7138429752066116,
