feature,family,point_in_time,n_unique
vman_react_native_builder_bob_nested,vman (manifeste de la version),True,2
vman_private_bool,vman (manifeste de la version),True,1
vman_imports_dict_size,vman (manifeste de la version),True,3
vman_imports_nested,vman (manifeste de la version),True,2
vman_workspaces_list_size,vman (manifeste de la version),True,3
vman_shasum_len,vman (manifeste de la version),True,2
vman_shasum_ent,vman (manifeste de la version),True,3
vman_n8n_dict_size,vman (manifeste de la version),True,3
vman_n8n_nested,vman (manifeste de la version),True,2
vman_tsd_dict_size,vman (manifeste de la version),True,3
vman_tsd_nested,vman (manifeste de la version),True,2
vman_config_dict_size,vman (manifeste de la version),True,3
vman_config_nested,vman (manifeste de la version),True,2
vman_gypfile_bool,vman (manifeste de la version),True,2
vman_pnpm_dict_size,vman (manifeste de la version),True,3
vman_pnpm_nested,vman (manifeste de la version),True,2
vman_typescript_dict_size,vman (manifeste de la version),True,2
vman_typescript_nested,vman (manifeste de la version),True,1
vman_browserslist_dict_size,vman (manifeste de la version),True,2
vman_browserslist_nested,vman (manifeste de la version),True,2
vman_limit_size_list_size,vman (manifeste de la version),True,2
vman_executors_len,vman (manifeste de la version),True,2
vman_executors_ent,vman (manifeste de la version),True,2
vman_migrations_len,vman (manifeste de la version),True,2
vman_migrations_ent,vman (manifeste de la version),True,2
vman_verb_dict_size,vman (manifeste de la version),True,5
vman_verb_nested,vman (manifeste de la version),True,2
vman_preferUnplugged_bool,vman (manifeste de la version),True,2
vman_authors_list_size,vman (manifeste de la version),True,3
vman_funding_list_size,vman (manifeste de la version),True,4
vman_release_dict_size,vman (manifeste de la version),True,3
vman_release_nested,vman (manifeste de la version),True,2
vman_libc_list_size,vman (manifeste de la version),True,2
vman_size_limit_list_size,vman (manifeste de la version),True,3
vman_clean_publish_dict_size,vman (manifeste de la version),True,2
vman_clean_publish_nested,vman (manifeste de la version),True,1
vman_simple_git_hooks_dict_size,vman (manifeste de la version),True,3
vman_simple_git_hooks_nested,vman (manifeste de la version),True,1
